ダウンロードした時刻：2025/07/05 23:26:59

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1995/7/1,26.3,8,1,19.9,8,1
1995/7/2,27.6,8,1,22.7,8,1
1995/7/3,27.2,8,1,23.9,8,1
1995/7/4,24.6,8,1,22.2,8,1
1995/7/5,22.9,8,1,21.0,8,1
1995/7/6,23.3,8,1,19.4,8,1
1995/7/7,26.9,8,1,21.1,8,1
1995/7/8,23.8,8,1,21.8,8,1
1995/7/9,26.0,8,1,21.7,8,1
1995/7/10,31.7,8,1,22.4,8,1
1995/7/11,32.5,8,1,24.1,8,1
1995/7/12,28.5,8,1,23.7,8,1
1995/7/13,31.5,8,1,25.4,8,1
1995/7/14,30.7,8,1,24.8,8,1
1995/7/15,28.8,8,1,24.3,8,1
1995/7/16,28.0,8,1,23.3,8,1
1995/7/17,30.7,8,1,22.0,8,1
1995/7/18,24.3,8,1,21.1,8,1
1995/7/19,28.1,8,1,21.6,8,1
1995/7/20,28.6,8,1,22.5,8,1
1995/7/21,28.8,8,1,24.2,8,1
1995/7/22,29.5,8,1,23.7,8,1
1995/7/23,32.5,8,1,24.5,8,1
1995/7/24,34.3,8,1,25.7,8,1
1995/7/25,35.9,8,1,25.7,8,1
1995/7/26,34.3,8,1,27.4,8,1
1995/7/27,34.0,8,1,26.9,8,1
1995/7/28,35.0,8,1,26.6,8,1
1995/7/29,33.8,8,1,26.4,8,1
1995/7/30,33.5,8,1,27.0,8,1
1995/7/31,34.1,8,1,26.7,8,1
1995/8/1,35.4,8,1,27.0,8,1
1995/8/2,34.5,8,1,25.9,8,1
1995/8/3,34.6,8,1,25.7,8,1
1995/8/4,36.3,8,1,26.6,8,1
1995/8/5,34.3,8,1,26.4,8,1
1995/8/6,33.2,8,1,25.0,8,1
1995/8/7,32.9,8,1,24.7,8,1
1995/8/8,35.3,8,1,27.3,8,1
1995/8/9,34.4,8,1,27.8,8,1
1995/8/10,35.2,8,1,25.4,8,1
1995/8/11,34.3,8,1,25.7,8,1
1995/8/12,31.6,8,1,25.1,8,1
1995/8/13,31.5,8,1,25.4,8,1
1995/8/14,33.3,8,1,26.0,8,1
1995/8/15,33.7,8,1,25.8,8,1
1995/8/16,34.3,8,1,25.9,8,1
1995/8/17,32.4,8,1,25.7,8,1
1995/8/18,32.2,8,1,26.7,8,1
1995/8/19,35.6,8,1,27.6,8,1
1995/8/20,35.1,8,1,27.6,8,1
1995/8/21,34.1,8,1,26.4,8,1
1995/8/22,32.4,8,1,24.7,8,1
1995/8/23,31.3,8,1,24.5,8,1
1995/8/24,35.3,8,1,26.4,8,1
1995/8/25,35.1,8,1,27.4,8,1
1995/8/26,34.4,8,1,27.3,8,1
1995/8/27,35.4,8,1,27.2,8,1
1995/8/28,36.4,8,1,27.5,8,1
1995/8/29,29.9,8,1,25.3,8,1
1995/8/30,30.8,8,1,24.6,8,1
1995/8/31,29.5,8,1,25.4,8,1
1995/9/1,34.2,8,1,24.9,8,1
1995/9/2,30.5,8,1,24.2,8,1
1995/9/3,31.3,8,1,25.9,8,1
1995/9/4,30.5,8,1,25.2,8,1
1995/9/5,29.5,8,1,23.4,8,1
1995/9/6,28.8,8,1,23.4,8,1
1995/9/7,32.1,8,1,23.9,8,1
1995/9/8,27.1,8,1,22.3,8,1
1995/9/9,28.4,8,1,20.6,8,1
1995/9/10,29.1,8,1,23.4,8,1
1995/9/11,35.8,8,1,23.8,8,1
1995/9/12,29.4,8,1,21.3,8,1
1995/9/13,28.4,8,1,20.0,8,1
1995/9/14,28.0,8,1,21.2,8,1
1995/9/15,22.5,8,1,20.4,8,1
1995/9/16,21.4,8,1,16.5,8,1
1995/9/17,19.8,8,1,15.1,8,1
1995/9/18,24.3,8,1,17.0,8,1
1995/9/19,24.3,8,1,16.6,8,1
1995/9/20,25.5,8,1,16.9,8,1
1995/9/21,24.6,8,1,16.6,8,1
1995/9/22,23.3,8,1,16.5,8,1
1995/9/23,25.4,8,1,18.8,8,1
1995/9/24,25.5,8,1,19.2,8,1
1995/9/25,31.0,8,1,21.2,8,1
1995/9/26,23.8,8,1,20.8,8,1
1995/9/27,26.8,8,1,21.9,8,1
1995/9/28,27.7,8,1,21.0,8,1
1995/9/29,26.4,8,1,18.9,8,1
1995/9/30,25.1,8,1,21.1,8,1
1995/10/1,25.8,8,1,21.1,8,1
1995/10/2,27.8,8,1,17.5,8,1
1995/10/3,27.3,8,1,21.4,8,1
1995/10/4,26.4,8,1,21.9,8,1
1995/10/5,25.1,8,1,21.4,8,1
1995/10/6,22.5,8,1,17.4,8,1
1995/10/7,19.6,8,1,16.0,8,1
1995/10/8,16.1,8,1,14.1,8,1
1995/10/9,20.8,8,1,14.9,8,1
1995/10/10,20.4,8,1,15.0,8,1
1995/10/11,21.3,8,1,14.9,8,1
1995/10/12,21.2,8,1,15.6,8,1
1995/10/13,24.9,8,1,18.1,8,1
1995/10/14,24.0,8,1,16.4,8,1
1995/10/15,24.2,8,1,15.6,8,1
1995/10/16,24.9,8,1,17.6,8,1
1995/10/17,27.5,8,1,19.9,8,1
1995/10/18,25.7,8,1,18.1,8,1
