ダウンロードした時刻：2025/07/05 23:32:48

,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃)
,,,,
,,品質情報,,品質情報
1980/7/1,23.0,8,18.3,8
1980/7/2,18.5,8,16.4,8
1980/7/3,26.3,8,16.5,8
1980/7/4,27.6,8,21.2,8
1980/7/5,26.0,8,20.3,8
1980/7/6,27.2,8,20.8,8
1980/7/7,29.1,8,22.5,8
1980/7/8,26.9,8,21.0,8
1980/7/9,22.6,8,20.1,8
1980/7/10,26.3,8,20.9,8
1980/7/11,24.8,8,21.5,8
1980/7/12,31.9,8,20.2,8
1980/7/13,27.4,8,19.4,8
1980/7/14,28.6,8,21.4,8
1980/7/15,32.6,8,21.3,8
1980/7/16,24.3,8,19.5,8
1980/7/17,24.1,8,18.5,8
1980/7/18,22.0,8,18.2,8
1980/7/19,28.5,8,20.6,8
1980/7/20,31.1,8,23.4,8
1980/7/21,31.1,8,24.3,8
1980/7/22,30.7,8,25.3,8
1980/7/23,33.0,8,26.0,8
1980/7/24,32.5,8,25.6,8
1980/7/25,29.6,8,23.4,8
1980/7/26,29.7,8,22.3,8
1980/7/27,25.0,8,20.6,8
1980/7/28,27.7,8,20.2,8
1980/7/29,26.0,8,21.2,8
1980/7/30,24.7,8,21.5,8
1980/7/31,29.1,8,21.1,8
1980/8/1,24.5,8,19.4,8
1980/8/2,23.0,8,19.1,8
1980/8/3,21.0,8,18.6,8
1980/8/4,22.6,8,18.7,8
1980/8/5,26.5,8,19.7,8
1980/8/6,25.0,8,19.1,8
1980/8/7,26.4,8,19.5,8
1980/8/8,23.9,8,18.7,8
1980/8/9,27.2,8,18.2,8
1980/8/10,27.1,8,18.9,8
1980/8/11,29.3,8,18.2,8
1980/8/12,30.1,8,21.5,8
1980/8/13,30.8,8,22.3,8
1980/8/14,31.0,8,24.2,8
1980/8/15,32.2,8,22.1,8
1980/8/16,22.1,8,21.0,8
1980/8/17,28.0,8,21.0,8
1980/8/18,27.9,8,23.2,8
1980/8/19,29.0,8,22.1,8
1980/8/20,27.1,8,22.1,8
1980/8/21,27.9,8,22.1,8
1980/8/22,25.6,8,22.1,8
1980/8/23,27.3,8,22.7,8
1980/8/24,31.1,8,22.9,8
1980/8/25,26.9,8,21.3,8
1980/8/26,21.6,8,18.1,8
1980/8/27,22.2,8,17.6,8
1980/8/28,26.8,8,20.2,8
1980/8/29,26.9,8,22.1,8
1980/8/30,28.2,8,22.9,8
1980/8/31,25.0,8,22.7,8
1980/9/1,28.9,8,23.1,8
1980/9/2,26.1,8,21.3,8
1980/9/3,28.9,8,23.1,8
1980/9/4,29.3,8,23.4,8
1980/9/5,30.6,8,23.0,8
1980/9/6,31.9,8,25.8,8
1980/9/7,31.8,8,23.4,8
1980/9/8,27.3,8,20.3,8
1980/9/9,24.6,8,20.4,8
1980/9/10,26.0,8,20.1,8
1980/9/11,30.8,8,25.5,8
1980/9/12,29.8,8,25.2,8
1980/9/13,30.0,8,23.0,8
1980/9/14,28.9,8,22.0,8
1980/9/15,29.6,8,21.3,8
1980/9/16,28.1,8,21.1,8
1980/9/17,28.7,8,21.3,8
1980/9/18,25.1,8,20.1,8
1980/9/19,24.1,8,18.5,8
1980/9/20,25.6,8,20.1,8
1980/9/21,25.5,8,20.5,8
1980/9/22,27.5,8,20.8,8
1980/9/23,22.3,8,18.4,8
1980/9/24,20.3,8,17.3,8
1980/9/25,18.7,8,17.0,8
