ダウンロードした時刻：2025/07/06 01:11:23

,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃)
,,,,
,,品質情報,,品質情報
1890/7/1,22.8,8,18.1,8
1890/7/2,22.9,8,17.5,8
1890/7/3,22.5,8,19.6,8
1890/7/4,22.1,8,19.3,8
1890/7/5,25.7,8,19.5,8
1890/7/6,29.9,8,17.8,8
1890/7/7,19.4,8,16.0,8
1890/7/8,17.5,8,14.2,8
1890/7/9,20.5,8,13.0,8
1890/7/10,23.8,8,13.7,8
1890/7/11,25.9,8,18.2,8
1890/7/12,28.7,8,19.4,8
1890/7/13,29.7,8,23.1,8
1890/7/14,31.2,8,21.9,8
1890/7/15,32.7,8,22.4,8
1890/7/16,32.2,8,22.5,8
1890/7/17,29.3,8,22.1,8
1890/7/18,30.5,8,21.5,8
1890/7/19,31.6,8,20.2,8
1890/7/20,31.3,8,21.4,8
1890/7/21,30.4,8,24.0,8
1890/7/22,33.3,8,21.8,8
1890/7/23,28.6,8,20.6,8
1890/7/24,28.1,8,22.3,8
1890/7/25,24.3,8,21.2,8
1890/7/26,29.1,8,21.7,8
1890/7/27,27.1,8,22.0,8
1890/7/28,27.7,8,21.3,8
1890/7/29,28.9,8,21.8,8
1890/7/30,27.5,8,21.5,8
1890/7/31,29.8,8,21.5,8
1890/8/1,31.0,8,22.5,8
1890/8/2,26.8,8,22.9,8
1890/8/3,26.6,8,22.5,8
1890/8/4,30.5,8,23.5,8
1890/8/5,31.3,8,23.6,8
1890/8/6,32.3,8,23.9,8
1890/8/7,29.2,8,24.7,8
1890/8/8,30.4,8,23.3,8
1890/8/9,30.4,8,23.5,8
1890/8/10,29.6,8,24.5,8
1890/8/11,28.6,8,23.8,8
1890/8/12,28.8,8,22.4,8
1890/8/13,29.7,8,23.6,8
1890/8/14,27.5,8,22.4,8
1890/8/15,28.4,8,20.7,8
1890/8/16,29.9,8,24.3,8
1890/8/17,28.9,8,23.9,8
1890/8/18,30.5,8,22.5,8
1890/8/19,28.9,8,22.1,8
1890/8/20,29.4,8,21.2,8
1890/8/21,24.8,8,20.8,8
1890/8/22,28.9,8,21.4,8
1890/8/23,29.6,8,23.9,8
1890/8/24,29.2,8,23.6,8
1890/8/25,29.4,8,23.3,8
1890/8/26,29.3,8,21.9,8
1890/8/27,27.8,8,21.3,8
1890/8/28,27.3,8,22.0,8
1890/8/29,28.3,8,21.6,8
1890/8/30,26.6,8,21.3,8
1890/8/31,28.1,8,23.9,8
1890/9/1,29.4,8,23.5,8
1890/9/2,29.0,8,23.3,8
1890/9/3,29.6,8,21.9,8
1890/9/4,28.4,8,21.2,8
1890/9/5,28.9,8,20.5,8
1890/9/6,29.6,8,21.2,8
1890/9/7,30.8,8,20.5,8
1890/9/8,30.1,8,23.9,8
1890/9/9,29.7,8,21.5,8
1890/9/10,30.3,8,21.1,8
1890/9/11,29.5,8,19.5,8
1890/9/12,27.8,8,20.3,8
1890/9/13,26.5,8,23.7,8
1890/9/14,26.8,8,21.2,8
1890/9/15,28.4,8,20.3,8
1890/9/16,26.8,8,21.4,8
1890/9/17,27.8,8,21.7,8
1890/9/18,30.2,8,24.7,8
1890/9/19,28.8,8,23.1,8
1890/9/20,28.7,8,23.3,8
1890/9/21,29.5,8,22.3,8
1890/9/22,24.9,8,21.2,8
1890/9/23,26.7,8,19.7,8
1890/9/24,31.5,8,21.5,8
1890/9/25,29.7,8,20.2,8
