ダウンロードした時刻：2025/07/05 23:26:59

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2010/7/1,29.5,8,1,24.8,8,1
2010/7/2,31.0,8,1,23.1,8,1
2010/7/3,28.8,8,1,24.3,8,1
2010/7/4,31.6,8,1,24.3,8,1
2010/7/5,30.3,8,1,24.9,8,1
2010/7/6,30.6,8,1,24.2,8,1
2010/7/7,27.8,8,1,22.9,8,1
2010/7/8,30.1,8,1,23.2,8,1
2010/7/9,27.8,8,1,22.7,8,1
2010/7/10,31.1,8,1,23.6,8,1
2010/7/11,28.9,8,1,24.4,8,1
2010/7/12,29.1,8,1,26.2,8,1
2010/7/13,27.2,8,1,19.9,8,1
2010/7/14,31.3,8,1,20.0,8,1
2010/7/15,31.4,8,1,26.4,8,1
2010/7/16,31.9,8,1,25.8,8,1
2010/7/17,32.1,8,1,26.0,8,1
2010/7/18,31.7,8,1,25.6,8,1
2010/7/19,34.5,8,1,26.1,8,1
2010/7/20,34.5,8,1,27.3,8,1
2010/7/21,36.3,8,1,28.0,8,1
2010/7/22,36.1,8,1,27.6,8,1
2010/7/23,35.7,8,1,26.8,8,1
2010/7/24,35.8,8,1,26.5,8,1
2010/7/25,34.4,8,1,25.5,8,1
2010/7/26,33.3,8,1,25.7,8,1
2010/7/27,33.8,8,1,26.1,8,1
2010/7/28,34.2,8,1,27.3,8,1
2010/7/29,27.9,8,1,24.4,8,1
2010/7/30,29.2,8,1,25.3,8,1
2010/7/31,32.2,8,1,26.8,8,1
2010/8/1,34.1,8,1,27.4,8,1
2010/8/2,32.2,8,1,27.8,8,1
2010/8/3,33.3,8,1,27.4,8,1
2010/8/4,33.8,8,1,27.4,8,1
2010/8/5,33.4,8,1,27.7,8,1
2010/8/6,33.6,8,1,27.4,8,1
2010/8/7,33.2,8,1,26.4,8,1
2010/8/8,32.5,8,1,26.0,8,1
2010/8/9,28.9,8,1,23.6,8,1
2010/8/10,30.5,8,1,25.8,8,1
2010/8/11,31.9,8,1,26.9,8,1
2010/8/12,32.3,8,1,26.8,8,1
2010/8/13,30.3,8,1,26.9,8,1
2010/8/14,32.6,8,1,26.8,8,1
2010/8/15,35.5,8,1,28.6,8,1
2010/8/16,36.3,8,1,28.1,8,1
2010/8/17,37.2,8,1,28.9,8,1
2010/8/18,35.1,8,1,27.3,8,1
2010/8/19,33.1,8,1,26.2,8,1
2010/8/20,31.8,8,1,25.5,8,1
2010/8/21,32.8,8,1,26.2,8,1
2010/8/22,34.6,8,1,26.5,8,1
2010/8/23,35.1,8,1,27.2,8,1
2010/8/24,33.9,8,1,27.5,8,1
2010/8/25,33.8,8,1,27.6,8,1
2010/8/26,34.7,8,1,27.3,8,1
2010/8/27,33.8,8,1,27.1,8,1
2010/8/28,34.7,8,1,27.4,8,1
2010/8/29,34.4,8,1,26.4,8,1
2010/8/30,34.8,8,1,27.4,8,1
2010/8/31,35.8,8,1,27.5,8,1
2010/9/1,35.9,8,1,27.5,8,1
2010/9/2,34.6,8,1,27.9,8,1
2010/9/3,34.5,8,1,26.8,8,1
2010/9/4,35.9,8,1,28.5,8,1
2010/9/5,34.3,8,1,28.0,8,1
2010/9/6,34.1,8,1,27.9,8,1
2010/9/7,35.7,8,1,27.8,8,1
2010/9/8,30.5,8,1,22.8,8,1
2010/9/9,28.6,8,1,22.0,8,1
2010/9/10,29.4,8,1,23.4,8,1
2010/9/11,31.7,8,1,24.7,8,1
2010/9/12,31.7,8,1,25.1,8,1
2010/9/13,33.2,8,1,24.7,8,1
2010/9/14,30.4,8,1,22.2,8,1
2010/9/15,25.7,8,1,20.7,8,1
2010/9/16,21.9,8,1,19.5,8,1
2010/9/17,29.1,8,1,19.8,8,1
2010/9/18,29.6,8,1,23.1,8,1
2010/9/19,29.7,8,1,22.9,8,1
2010/9/20,28.8,8,1,24.3,8,1
2010/9/21,31.7,8,1,23.5,8,1
2010/9/22,32.7,8,1,24.6,8,1
2010/9/23,24.8,8,1,16.8,8,1
2010/9/24,20.2,8,1,15.8,8,1
2010/9/25,22.0,8,1,13.9,8,1
2010/9/26,24.6,8,1,14.8,8,1
2010/9/27,17.8,8,1,15.6,8,1
2010/9/28,22.8,8,1,16.0,8,1
2010/9/29,25.6,8,1,19.6,8,1
2010/9/30,22.0,8,1,18.1,8,1
2010/10/1,24.2,8,1,18.1,8,1
2010/10/2,24.9,8,1,19.2,8,1
2010/10/3,24.9,8,1,17.3,8,1
2010/10/4,22.6,8,1,18.1,8,1
2010/10/5,26.9,8,1,19.5,8,1
2010/10/6,25.7,8,1,19.7,8,1
2010/10/7,24.8,8,1,18.0,8,1
2010/10/8,25.0,8,1,18.9,8,1
2010/10/9,19.1,8,1,16.7,8,1
2010/10/10,23.6,8,1,16.8,8,1
2010/10/11,28.3,8,1,17.8,8,1
2010/10/12,25.8,8,1,19.6,8,1
2010/10/13,26.1,8,1,20.8,8,1
2010/10/14,23.4,8,1,19.5,8,1
2010/10/15,23.6,8,1,19.3,8,1
2010/10/16,24.8,8,1,18.6,8,1
2010/10/17,23.3,8,1,18.5,8,1
2010/10/18,22.7,8,1,17.1,8,1
